Account,Sentiment,Avg_PnL,Total_PnL,Avg_ROI,Win_Rate,Trades
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,33.857528488860325,79023.471493,0.0011815504262812238,0.34361610968294776,2334
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Greed,50.253754429524605,60254.251561,0.01499160700656944,0.3377814845704754,1199
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Greed,192.28589663299664,57108.9113,0.03360617140393935,0.48148148148148145,297
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Greed,408.9797290462963,44169.810737,0.39211742157249296,0.9537037037037037,108
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Greed,224.51973447058822,38168.35486,0.0807542864345473,0.4470588235294118,170
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Greed,10.761178141259565,36566.483324,0.02309853387386534,0.3507945850500294,3398
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Greed,8.529496366707168,35098.877549,0.005544984115690539,0.33754556500607535,4115
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,10.50255621919192,31192.591971,0.038051138297237094,0.4484848484848485,2970
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Greed,86.45201101428572,30258.203855,0.032122499864624045,0.24285714285714285,350
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Greed,125.32531551037344,30203.401038,0.33777403043127274,0.5062240663900415,241
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,10.211823158681618,30053.395556,0.0017858920406952465,0.4016309887869521,2943
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Greed,43.192043032786884,21077.717,0.006999176233928248,0.12295081967213115,488
0x2c229d22b100a7beb69122eed721cee9b24011dd,Greed,79.35048596442688,20075.672949,0.021030287336866946,0.541501976284585,253
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Greed,177.69044117647059,12082.95,0.013071479486082952,0.029411764705882353,68
